Trigger: G-switch.
Smart Recovery option enabled with altitude setting of 685 ft.
Timed recovery set at 16 sec (drogue) and 0 sec (main).
Data is sampled at 200 Hz.
Inputs that were sampled: Acceleration, Pressure, the digital inputs, ADC0, ADC1, ADC2, ADC3.
This data was generated with version 4.2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3.1
  Acc [G]  Alt [ft] 
     -0.2      1662 
     -0.3      1662 
     -0.3      1662 
     -0.0      1662 
     -0.0      1662 
     -0.3      1662 
     -0.0      1689 
     -0.2      1662 
     -0.2      1662 
     -0.3      1662 
     -0.0      1689 
     -0.2      1689 
     -0.2      1689 
     -0.3      1689 
     -0.0      1662 
     -0.0      1689 
      0.1      1689 
     -0.2      1689 
     -0.3      1716 
     -0.0      1689 
     -0.2      1716 
     -0.3      1689 
     -0.0      1716 
     -0.2      1689 
     -0.0      1716 
     -0.3      1689 
     -0.2      1716 
     -0.0      1716 
     -0.3      1689 
     -0.2      1716 
     -0.0      1716 
     -0.2      1716 
     -0.0      1716 
     -0.3      1716 
     -0.3      1716 
     -0.2      1716 
     -0.2      1716 
     -0.3      1716 
     -0.0      1716 
     -0.0      1716 
     -0.3      1716 
     -0.2      1716 
     -0.0      1716 
     -0.3      1716 
     -0.0      1716 
     -0.0      1716 
     -0.3      1716 
     -0.0      1742 
     -0.3      1742 
     -0.2      1742 
     -0.0      1742 
     -0.2      1742 
     -0.3      1742 
     -0.2      1742 
     -0.0      1742 
     -0.2      1769 
     -0.2      1742 
     -0.0      1742 
     -0.3      1769 
     -0.0      1742 
     -0.2      1742 
     -0.3      1742 
     -0.0      1742 
     -0.3      1742 
     -0.2      1769 
     -0.0      1769 
     -0.0      1769 
     -0.3      1769 
     -0.2      1742 
     -0.2      1742 
     -0.3      1769 
     -0.2      1769 
     -0.0      1769 
     -0.0      1769 
     -0.3      1769 
     -0.2      1769 
     -0.3      1769 
     -0.3      1769 
     -0.3      1769 
     -0.2      1769 
     -0.2      1769 
     -0.0      1769 
     -0.2      1769 
     -0.0      1769 
     -0.0      1769 
     -0.3      1796 
     -0.2      1796 
     -0.0      1769 
     -0.2      1796 
     -0.2      1796 
     -0.3      1796 
     -0.2      1796 
      0.1      1796 
     -0.0      1796 
     -0.2      1796 
     -0.0      1796 
     -0.2      1796 
     -0.2      1796 
     -0.2      1796 
     -0.0      1823 
     -0.2      1823 
     -0.0      1796 
     -0.0      1796 
     -0.0      1796 
     -0.2      1796 
      0.1      1823 
     -0.2      1823 
      0.1      1823 
     -0.2      1823 
     -0.3      1823 
     -0.0      1823 
      0.1      1796 
     -0.2      1796 
     -0.2      1796 
     -0.0      1823 
     -0.2      1823 
     -0.2      1850 
     -0.0      1823 
     -0.0      1823 
     -0.3      1823 
     -0.2      1796 
     -0.2      1823 
     -0.2      1823 
      0.1      1823 
     -0.0      1823 
     -0.3      1850 
     -0.0      1823 
     -0.0      1850 
     -0.3      1850 
     -0.0      1823 
      0.1      1850 
     -0.2      1850 
     -0.0      1850 
     -0.2      1850 
      0.1      1850 
     -0.3      1850 
     -0.0      1850 
     -0.3      1850 
     -0.3      1850 
     -0.3      1877 
     -0.3      1850 
     -0.3      1850 
     -0.3      1850 
     -0.3      1877 
     -0.4      1850 
     -0.2      1877 
     -0.0      1850 
     -0.3      1877 
     -0.0      1877 
     -0.0      1877 
     -0.2      1877 
      0.1      1850 
     -0.0      1877 
      0.1      1877 
     -0.0      1877 
      0.1      1877 
      0.2      1877 
     -0.2      1877 
     -0.0      1877 
      0.1      1877 
     -0.2      1877 
     -0.2      1877 
     -0.3      1877 
     -0.6      1877 
     -0.2      1877 
     -0.4      1904 
     -0.4      1904 
     -0.2      1904 
     -0.2      1877 
     -0.2      1904 
     -0.0      1904 
     -0.0      1904 
     -0.0      1877 
     -0.2      1904 
     -0.2      1904 
      0.1      1904 
     -0.2      1904 
     -0.3      1877 
      0.1      1904 
     -0.2      1904 
     -0.0      1904 
     -0.0      1904 
     -0.2      1904 
     -0.3      1904 
      0.1      1904 
     -0.2      1931 
     -0.2      1931 
      0.1      1904 
     -0.0      1904 
     -0.2      1931 
     -0.0      1904 
     -0.3      1931 
     -0.3      1931 
      0.1      1931 
     -0.2      1904 
     -0.0      1931 
     -0.2      1931 
     -0.0      1931 
     -0.0      1931 
     -0.2      1931 
     -0.3      1931 
     -0.0      1931 
     -0.0      1931 
     -0.2      1931 
     -0.2      1931 
     -0.2      1958 
     -0.2      1931 
     -0.0      1931 
     -0.2      1958 
     -0.2      1958 
      0.1      1958 
     -0.0      1931 
     -0.0      1931 
     -0.3      1958 
     -0.2      1958 
     -0.2      1958 
     -0.0      1958 
     -0.6      1958 
     -0.2      1958 
     -0.3      1958 
     -0.3      1958 
     -0.4      1958 
     -0.4      1985 
     -0.2      1958 
     -0.4      1958 
     -0.3      1985 
     -0.3      1958 
     -0.0      1958 
      0.2      1958 
      0.1      1958 
     -0.0      1985 
     -0.0      1985 
      0.2      1958 
     -0.0      1958 
      0.1      1958 
      0.1      1985 
      0.1      1985 
     -0.0      1985 
     -0.0      1958 
      0.1      1985 
     -0.0      1985 
     -0.0      1985 
     -0.3      1958 
     -0.3      1985 
     -0.2      1985 
     -0.2      2012 
     -0.4      1985 
     -0.6      1985 
     -0.3      1985 
     -0.3      1985 
     -0.0      1985 
     -0.2      1985 
     -0.0      1985 
     -0.2      1985 
     -0.0      2012 
      0.1      1985 
     -0.2      1985 
     -0.3      2012 
     -0.0      1985 
     -0.2      2012 
     -0.2      2012 
     -0.0      2012 
     -0.0      2012 
     -0.2      2012 
     -0.2      2012 
     -0.0      2012 
     -0.2      2012 
     -0.0      2012 
      0.1      2012 
     -0.0      2012 
     -0.2      2012 
     -0.3      2012 
     -0.2      2012 
     -0.0      2012 
     -0.2      2012 
     -0.0      2039 
     -0.2      2039 
     -0.2      2039 
     -0.0      2012 
     -0.2      2039 
      0.1      2039 
     -0.2      2012 
     -0.0      2039 
     -0.0      2039 
     -0.2      2039 
     -0.0      2039 
     -0.2      2039 
     -0.0      2066 
      0.1      2039 
     -0.3      2039 
     -0.0      2039 
     -0.0      2039 
     -0.0      2039 
     -0.0      2039 
     -0.0      2039 
     -0.3      2066 
     -0.2      2066 
     -0.2      2039 
     -0.2      2039 
     -0.2      2066 
      0.1      2066 
     -0.2      2039 
      0.1      2066 
     -0.0      2066 
     -0.2      2066 
     -0.0      2066 
     -0.0      2066 
     -0.0      2066 
     -0.3      2066 
     -0.0      2066 
     -0.0      2066 
     -0.0      2093 
     -0.0      2066 
      0.1      2066 
     -0.2      2066 
      0.1      2093 
     -0.0      2093 
     -0.2      2066 
     -0.0      2066 
     -0.2      2093 
     -0.0      2066 
     -0.0      2093 
      0.1      2093 
     -0.2      2093 
     -0.0      2066 
     -0.0      2093 
     -0.2      2093 
     -0.0      2093 
     -0.0      2093 
     -0.0      2093 
     -0.0      2093 
     -0.2      2093 
     -0.0      2093 
     -0.0      2093 
     -0.3      2093 
     -0.2      2093 
      0.1      2093 
      0.1      2093 
      0.1      2120 
      0.1      2093 
     -0.2      2093 
     -0.2      2120 
      0.1      2120 
     -0.3      2093 
     -0.0      2120 
     -0.0      2120 
     -0.0      2120 
     -0.2      2093 
     -0.2      2120 
      0.1      2120 
     -0.2      2120 
     -0.0      2093 
     -0.2      2120 
     -0.0      2120 
     -0.0      2120 
     -0.0      2120 
     -0.0      2120 
     -0.0      2120 
     -0.0      2120 
     -0.3      2120 
     -0.0      2120 
     -0.0      2120 
     -0.2      2147 
     -0.0      2120 
     -0.0      2120 
     -0.2      2147 
     -0.2      2147 
      0.1      2147 
     -0.2      2147 
     -0.0      2120 
     -0.0      2147 
     -0.0      2147 
      0.1      2147 
     -0.2      2147 
     -0.2      2147 
      0.1      2120 
      0.1      2147 
     -0.2      2147 
      0.1      2147 
     -0.0      2147 
     -0.2      2147 
     -0.0      2147 
      0.1      2147 
     -0.0      2147 
     -0.2      2147 
      0.1      2147 
     -0.2      2147 
     -0.0      2174 
     -0.2      2147 
     -0.2      2147 
      0.1      2147 
      0.1      2147 
     -0.2      2147 
     -0.2      2147 
      0.1      2147 
     -0.2      2174 
     -0.2      2174 
     -0.0      2174 
     -0.2      2147 
     -0.2      2174 
     -0.0      2174 
     -0.2      2174 
     -0.0      2174 
     -0.0      2174 
     -0.2      2174 
     -0.0      2174 
     -0.0      2174 
     -0.0      2174 
     -0.2      2174 
      0.1      2174 
     -0.2      2174 
     -0.0      2174 
      0.1      2201 
     -0.0      2174 
     -0.2      2174 
     -0.0      2174 
     -0.2      2174 
      0.1      2174 
     -0.2      2201 
     -0.0      2201 
     -0.0      2201 
      0.1      2201 
     -0.0      2174 
     -0.2      2201 
      0.1      2201 
     -0.0      2201 
     -0.2      2201 
      0.1      2201 
     -0.2      2201 
     -0.0      2201 
     -0.0      2201 
     -0.2      2201 
     -0.2      2201 
     -0.0      2201 
     -0.2      2201 
     -0.0      2228 
     -0.2      2201 
     -0.0      2228 
     -0.3      2201 
     -0.0      2228 
     -0.0      2201 
     -0.2      2228 
     -0.0      2201 
     -0.2      2201 
     -0.0      2201 
     -0.2      2201 
     -0.2      2201 
      0.1      2201 
     -0.0      2228 
     -0.3      2201 
      0.3      2201 
      0.2      2228 
      0.1      2228 
     -0.0      2228 
     -0.2      2228 
      0.1      2201 
     -0.3      2228 
     -0.0      2228 
     -0.3      2228 
     -0.2      2228 
     -0.3      2228 
     -0.2      2228 
     -0.2      2228 
     -0.0      2228 
     -0.0      2228 
     -0.4      2228 
     -0.3      2228 
     -0.3      2256 
     -0.0      2256 
     -0.0      2256 
     -0.0      2228 
      0.2      2256 
      0.2      2256 
     -0.0      2228 
      0.2      2256 
      0.1      2256 
     -0.0      2228 
      0.1      2256 
     -0.0      2256 
     -0.0      2256 
      0.2      2228 
      0.1      2256 
     -0.2      2256 
     -0.0      2256 
     -0.0      2256 
     -0.4      2256 
     -0.3      2256 
     -0.0      2283 
     -0.2      2256 
     -0.4      2256 
     -0.0      2283 
     -0.0      2256 
     -0.0      2256 
     -0.2      2283 
      0.2      2256 
     -0.0      2256 
     -0.0      2256 
     -0.0      2283 
      0.1      2256 
     -0.3      2256 
     -0.0      2283 
     -0.0      2283 
     -0.2      2256 
     -0.2      2283 
     -0.2      2283 
     -0.0      2283 
     -0.0      2283 
     -0.2      2283 
     -0.0      2283 
      0.2      2283 
     -0.2      2283 
     -0.0      2283 
     -0.0      2283 
     -0.0      2283 
     -0.2      2283 
      0.1      2283 
     -0.0      2283 
     -0.2      2310 
     -0.0      2283 
     -0.2      2310 
     -0.2      2283 
      0.1      2283 
     -0.2      2283 
     -0.0      2283 
     -0.0      2283 
     -0.0      2283 
     -0.0      2310 
      0.1      2310 
      0.1      2283 
     -0.3      2310 
      0.2      2283 
      0.2      2310 
      0.1      2310 
      0.1      2310 
      0.2      2310 
     -0.2      2283 
     -0.0      2310 
     -0.3      2310 
     -0.0      2310 
     -0.3      2310 
     -0.4      2310 
     -0.2      2310 
     -0.3      2310 
      0.1      2310 
     -0.2      2310 
     -0.3      2310 
     -0.2      2310 
     -0.0      2310 
     -0.2      2310 
     -0.2      2310 
      0.2      2310 
      0.1      2310 
      0.1      2310 
      0.1      2337 
      0.1      2337 
      0.1      2310 
      0.2      2337 
      0.1      2310 
      0.1      2310 
      0.2      2310 
      0.2      2337 
     -0.0      2310 
     -0.0      2337 
     -0.2      2337 
     -0.0      2337 
     -0.2      2310 
     -0.3      2337 
     -0.2      2310 
     -0.0      2337 
     -0.2      2337 
     -0.3      2337 
      0.1      2337 
      0.1      2337 
     -0.0      2337 
     -0.3      2365 
      0.1      2337 
     -0.0      2337 
     -0.2      2337 
      0.1      2337 
     -0.2      2337 
     -0.2      2337 
      0.1      2365 
     -0.0      2337 
     -0.2      2365 
      0.1      2337 
     -0.2      2365 
      0.1      2337 
      0.2      2365 
     -0.0      2365 
     -0.2      2365 
      0.1      2365 
     -0.0      2337 
     -0.2      2365 
      0.1      2365 
     -0.2      2365 
     -0.0      2365 
     -0.0      2365 
     -0.2      2365 
     -0.0      2365 
      0.1      2365 
      0.1      2365 
     -0.0      2365 
      0.1      2365 
     -0.2      2365 
     -0.0      2392 
      0.1      2365 
     -0.0      2365 
     -0.0      2365 
     -0.2      2365 
      0.1      2365 
     -0.0      2365 
     -0.2      2392 
      0.1      2392 
     -0.0      2365 
     -0.2      2392 
      0.1      2365 
     -0.0      2365 
     -0.0      2365 
     -0.0      2365 
     -0.2      2365 
     -0.0      2392 
      0.1      2365 
     -0.2      2392 
     -0.0      2392 
     -0.0      2392 
     -0.0      2392 
     -0.0      2392 
      0.2      2392 
      0.1      2392 
     -0.0      2392 
      0.1      2419 
     -0.2      2392 
     -0.0      2419 
      0.1      2392 
     -0.0      2419 
      0.1      2392 
      0.1      2392 
      0.1      2392 
     -0.2      2419 
      0.1      2392 
      0.1      2392 
     -0.2      2419 
     -0.0      2392 
      0.1      2419 
      0.1      2392 
      0.1      2419 
     -0.2      2419 
     -0.0      2392 
      0.1      2392 
      0.1      2392 
     -0.2      2419 
      0.1      2419 
      0.1      2419 
     -0.2      2419 
     -0.0      2419 
      0.1      2419 
     -0.0      2419 
      0.1      2419 
     -0.2      2419 
     -0.0      2419 
     -0.0      2419 
     -0.0      2419 
     -0.2      2419 
     -0.0      2419 
     -0.0      2419 
     -0.0      2419 
      0.2      2419 
     -0.0      2419 
     -0.0      2419 
     -0.0      2419 
      0.1      2419 
      0.1      2419 
     -0.2      2419 
      0.2      2447 
     -0.0      2419 
      0.2      2419 
     -0.0      2419 
     -0.0      2419 
     -0.2      2419 
      0.1      2419 
     -0.0      2419 
     -0.2      2419 
     -0.2      2419 
     -0.0      2447 
     -0.2      2447 
      0.1      2447 
     -0.0      2447 
     -0.2      2447 
      0.1      2419 
     -0.0      2447 
     -0.2      2447 
      0.1      2447 
     -0.0      2447 
      0.1      2447 
      0.1      2447 
     -0.2      2447 
     -0.0      2474 
      0.1      2447 
     -0.2      2447 
     -0.0      2447 
      0.1      2447 
     -0.0      2447 
     -0.2      2447 
      0.1      2447 
      0.3      2447 
     -0.0      2447 
     -0.0      2474 
     -0.2      2447 
     -0.0      2474 
     -0.0      2474 
     -0.2      2447 
     -0.2      2474 
      0.2      2447 
     -0.0      2474 
     -0.0      2447 
      0.2      2474 
     -0.0      2474 
     -0.0      2447 
     -0.2      2474 
      0.1      2474 
     -0.2      2474 
     -0.0      2474 
      0.1      2474 
      0.1      2474 
     -0.2      2474 
      0.1      2474 
     -0.0      2474 
     -0.0      2474 
      0.1      2474 
      0.1      2474 
     -0.0      2474 
      0.1      2502 
     -0.0      2474 
      0.1      2502 
      0.2      2474 
     -0.2      2474 
     -0.0      2502 
      0.1      2474 
     -0.2      2502 
     -0.2      2474 
      0.2      2474 
     -0.0      2474 
     -0.0      2474 
     -0.0      2502 
     -0.0      2474 
      0.1      2502 
      0.1      2502 
      0.1      2502 
      0.1      2502 
      0.2      2502 
      0.1      2502 
     -0.0      2502 
      0.1      2502 
     -0.2      2502 
     -0.0      2502 
     -0.2      2502 
     -0.0      2502 
      0.1      2502 
     -0.0      2502 
     -0.0      2502 
      0.1      2502 
     -0.2      2502 
      0.1      2502 
      0.1      2502 
      0.1      2502 
     -0.2      2502 
      0.1      2502 
     -0.0      2502 
     -0.0      2502 
     -0.0      2502 
      0.2      2502 
      0.2      2502 
      0.1      2502 
      0.2      2502 
      0.1      2529 
     -0.0      2529 
     -0.0      2502 
      0.1      2502 
     -0.0      2529 
     -0.2      2502 
     -0.0      2502 
     -0.3      2529 
     -0.2      2529 
     -0.3      2529 
     -0.4      2502 
     -0.0      2502 
     -0.0      2502 
     -0.2      2502 
     -0.3      2529 
      0.1      2529 
     -0.0      2529 
     -0.0      2529 
     -0.0      2529 
     -0.0      2502 
      0.2      2529 
     -0.0      2529 
      0.1      2529 
      0.2      2529 
      0.3      2529 
      0.1      2529 
      0.1      2529 
      0.2      2529 
      0.2      2529 
      0.1      2529 
     -0.2      2529 
      0.1      2529 
     -0.0      2529 
     -0.2      2529 
     -0.3      2529 
     -0.3      2529 
     -0.0      2529 
      0.1      2529 
      0.2      2556 
     -0.0      2556 
     -0.2      2529 
      0.1      2529 
      0.1      2529 
     -0.0      2556 
      0.1      2556 
      0.1      2556 
     -0.2      2529 
      0.2      2529 
     -0.2      2529 
      0.1      2529 
      0.1      2584 
     -0.0      2529 
     -0.0      2529 
      0.2      2529 
     -0.0      2556 
      0.1      2556 
     -0.0      2556 
     -0.2      2529 
     -0.0      2529 
      0.1      2529 
     -0.0      2556 
      0.1      2556 
      0.1      2556 
     -0.0      2529 
      0.1      2556 
      0.1      2556 
     -0.0      2556 
      0.2      2556 
      0.1      2556 
     -0.0      2556 
     -0.0      2556 
     -0.0      2584 
     -0.0      2556 
     -0.2      2584 
      0.2      2584 
     -0.0      2556 
      0.2      2556 
      0.2      2556 
      0.2      2556 
      0.1      2556 
     -0.0      2556 
      0.1      2584 
      0.1      2556 
      0.2      2584 
     -0.0      2556 
     -0.0      2556 
      0.1      2556 
     -0.2      2584 
     -0.2      2556 
     -0.3      2556 
     -0.2      2556 
     -0.0      2584 
     -0.0      2584 
     -0.2      2584 
     -0.2      2584 
      0.1      2584 
      0.1      2584 
     -0.0      2584 
     -0.0      2556 
      0.1      2584 
      0.1      2584 
      0.2      2584 
      0.1      2584 
      0.3      2584 
      0.2      2584 
      0.1      2584 
      0.2      2584 
      0.2      2584 
     -0.0      2584 
     -0.0      2584 
      0.2      2611 
     -0.0      2584 
     -0.2      2584 
     -0.2      2584 
     -0.2      2584 
     -0.0      2611 
     -0.2      2584 
     -0.0      2584 
      0.1      2584 
     -0.0      2611 
     -0.0      2584 
      0.1      2584 
     -0.0      2584 
     -0.2      2611 
      0.2      2584 
     -0.0      2611 
      0.2      2611 
     -0.0      2611 
     -0.0      2584 
     -0.0      2611 
      0.1      2611 
     -0.0      2611 
      0.1      2611 
      0.1      2611 
     -0.0      2584 
     -0.0      2611 
     -0.0      2611 
      0.2      2584 
      0.1      2611 
      0.1      2611 
     -0.0      2611 
     -0.0      2611 
      0.2      2611 
     -0.0      2611 
     -0.0      2611 
      0.1      2611 
     -0.0      2611 
     -0.0      2611 
     -0.0      2611 
      0.2      2611 
     -0.0      2611 
     -0.0      2611 
      0.1      2611 
     -0.0      2611 
     -0.0      2611 
      0.2      2611 
     -0.0      2611 
      0.1      2611 
      0.1      2611 
     -0.2      2611 
     -0.0      2639 
      0.2      2639 
     -0.0      2611 
      0.1      2611 
      0.2      2611 
     -0.0      2639 
      0.2      2639 
      0.2      2639 
     -0.0      2639 
      0.1      2611 
     -0.2      2639 
     -0.0      2639 
      0.1      2639 
      0.1      2639 
      0.1      2639 
     -0.2      2611 
     -0.0      2639 
     -0.2      2639 
      0.2      2611 
      0.1      2611 
     -0.2      2639 
      0.1      2639 
      0.1      2639 
     -0.0      2639 
      0.1      2639 
     -0.0      2639 
      0.1      2639 
     -0.0      2611 
      0.2      2639 
     -0.0      2639 
     -0.2      2639 
      0.1      2639 
     -0.0      2639 
     -0.0      2639 
      0.1      2639 
      0.1      2639 
      0.2      2639 
      0.1      2639 
      0.1      2639 
      0.1      2639 
     -0.0      2639 
      0.2      2639 
     -0.2      2639 
      0.1      2639 
     -0.0      2639 
      0.2      2639 
     -0.0      2639 
     -0.0      2639 
      0.1      2666 
      0.2      2666 
     -0.0      2639 
     -0.0      2639 
      0.1      2639 
     -0.0      2666 
     -0.0      2639 
      0.1      2639 
      0.1      2639 
     -0.0      2639 
      0.1      2666 
     -0.0      2666 
     -0.0      2666 
      0.1      2666 
     -0.2      2639 
     -0.0      2666 
      0.2      2666 
     -0.0      2639 
      0.2      2666 
     -0.0      2666 
     -0.0      2666 
     -0.2      2666 
      0.2      2666 
      0.1      2666 
     -0.0      2666 
      0.2      2666 
     -0.0      2666 
     -0.0      2666 
      0.1      2666 
     -0.0      2666 
     -0.0      2666 
      0.1      2639 
      0.1      2666 
     -0.0      2666 
      0.2      2666 
      0.1      2666 
     -0.0      2666 
      0.1      2666 
     -0.0      2666 
     -0.2      2666 
     -0.0      2666 
     -0.0      2694 
     -0.0      2666 
      0.1      2694 
     -0.0      2666 
     -0.0      2666 
      0.2      2694 
      0.1      2666 
     -0.2      2666 
      0.1      2694 
     -0.0      2694 
      0.1      2666 
      0.2      2666 
     -0.2      2694 
     -0.0      2666 
     -0.0      2666 
     -0.0      2694 
      0.1      2666 
     -0.0      2666 
      0.1      2694 
      0.1      2666 
     -0.2      2694 
     -0.0      2666 
      0.1      2694 
      0.1      2666 
      0.1      2694 
     -0.0      2694 
      0.2      2666 
      0.1      2694 
     -0.0      2666 
     -0.0      2694 
     -0.0      2694 
      0.1      2694 
     -0.0      2694 
     -0.0      2694 
     -0.2      2694 
     -0.2      2694 
      0.1      2694 
      0.1      2694 
     -0.2      2694 
      0.1      2694 
      0.1      2666 
     -0.0      2694 
      0.2      2694 
      0.1      2694 
     -0.0      2694 
      0.1      2694 
     -0.0      2694 
     -0.2      2694 
      0.1      2694 
     -0.0      2722 
     -0.0      2694 
      0.1      2722 
     -0.0      2694 
      0.2      2694 
     -0.0      2694 
      0.1      2694 
     -0.2      2722 
      0.2      2694 
     -0.0      2694 
     -0.0      2722 
     -0.0      2694 
      0.1      2694 
     -0.2      2722 
      0.2      2722 
     -0.0      2694 
      0.1      2722 
      0.1      2694 
      0.2      2694 
      0.2      2722 
      0.2      2694 
      0.3      2722 
      0.5      2722 
      0.2      2694 
      0.1      2694 
      0.2      2694 
      0.2      2694 
     -0.0      2694 
     -0.0      2722 
     -0.2      2722 
     -0.0      2722 
     -0.4      2722 
     -0.3      2722 
     -0.0      2722 
     -0.2      2722 
      0.1      2722 
     -0.3      2722 
      0.1      2722 
     -0.2      2722 
     -0.2      2749 
     -0.0      2694 
      0.1      2722 
      0.3      2722 
      0.1      2722 
      0.1      2722 
      0.3      2694 
      0.2      2722 
      0.1      2722 
      0.2      2722 
      0.1      2694 
      0.2      2722 
      0.1      2722 
      0.2      2722 
      0.2      2722 
      0.1      2722 
     -0.0      2722 
     -0.3      2722 
     -0.2      2722 
      0.2      2722 
      0.1      2722 
     -0.0      2749 
      0.1      2722 
      0.1      2722 
     -0.0      2722 
      0.1      2722 
     -0.0      2722 
     -0.0      2749 
      0.1      2722 
     -0.0      2722 
     -0.2      2749 
      0.1      2722 
     -0.0      2749 
      0.1      2749 
      0.2      2749 
      0.1      2749 
     -0.0      2722 
      0.2      2722 
     -0.0      2749 
     -0.0      2749 
      0.1      2749 
     -0.2      2749 
     -0.0      2722 
      0.2      2749 
     -0.0      2749 
      0.1      2722 
     -0.2      2722 
      0.1      2749 
     -0.0      2722 
     -0.0      2749 
     -0.0      2749 
      0.2      2749 
     -0.2      2749 
      0.1      2749 
     -0.0      2749 
     -0.0      2749 
     -0.0      2749 
      0.1      2749 
     -0.0      2749 
      0.2      2749 
      0.2      2749 
      0.3      2722 
      0.1      2749 
      0.2      2749 
      0.3      2749 
      0.2      2749 
      0.2      2749 
     -0.0      2749 
     -0.0      2749 
     -0.0      2749 
      0.1      2749 
     -0.0      2749 
     -0.2      2749 
     -0.2      2749 
     -0.0      2749 
     -0.0      2749 
     -0.3      2749 
     -0.0      2749 
     -0.0      2749 
     -0.0      2749 
     -0.2      2749 
     -0.0      2749 
      0.2      2749 
      0.2      2749 
      0.1      2749 
      0.3      2749 
      0.2      2749 
      0.2      2749 
      0.2      2749 
      0.3      2749 
      0.2      2749 
      0.2      2749 
      0.1      2749 
      0.1      2749 
      0.2      2749 
      0.2      2777 
     -0.0      2749 
      0.1      2777 
     -0.2      2777 
     -0.2      2749 
      0.2      2777 
      0.1      2749 
      0.1      2749 
      0.1      2749 
      0.1      2777 
      0.1      2749 
     -0.2      2749 
      0.2      2749 
      0.1      2749 
      0.1      2777 
      0.2      2749 
      0.1      2777 
     -0.0      2777 
      0.1      2749 
     -0.0      2749 
      0.1      2749 
      0.2      2777 
     -0.0      2777 
      0.2      2749 
      0.2      2777 
     -0.0      2777 
      0.1      2749 
      0.2      2749 
     -0.2      2777 
     -0.0      2777 
     -0.0      2749 
     -0.2      2777 
      0.2      2777 
      0.1      2777 
     -0.0      2777 
     -0.0      2749 
     -0.0      2777 
     -0.0      2777 
      0.1      2777 
      0.2      2777 
     -0.2      2777 
      0.1      2749 
      0.1      2777 
     -0.2      2777 
      0.1      2777 
      0.1      2777 
      0.2      2777 
      0.1      2777 
     -0.2      2777 
     -0.2      2777 
      0.2      2777 
     -0.0      2749 
      0.1      2777 
      0.1      2777 
     -0.0      2777 
      0.1      2777 
      0.2      2777 
     -0.2      2777 
     -0.2      2777 
     -0.0      2777 
      0.1      2777 
      0.2      2777 
      0.2      2777 
     -0.0      2777 
      0.1      2777 
     -0.0      2777 
      0.1      2777 
      0.2      2777 
      0.1      2805 
     -0.0      2777 
      0.1      2777 
      0.1      2777 
     -0.0      2777 
      0.1      2777 
      0.2      2777 
     -0.0      2777 
     -0.0      2777 
     -0.0      2805 
     -0.0      2805 
     -0.0      2777 
      0.1      2805 
     -0.0      2805 
     -0.0      2777 
     -0.0      2777 
     -0.0      2805 
      0.1      2805 
      0.1      2777 
      0.1      2805 
      0.2      2749 
      0.1      2805 
      0.1      2777 
      0.2      2805 
      0.1      2777 
     -0.0      2805 
      0.1      2777 
      0.1      2777 
      0.1      2805 
      0.1      2805 
     -0.0      2805 
     -0.0      2805 
      0.1      2777 
     -0.2      2805 
      0.1      2805 
      0.2      2805 
      0.1      2805 
     -0.0      2777 
      0.2      2805 
      0.1      2805 
      0.2      2777 
     -0.0      2805 
     -0.0      2805 
      0.1      2805 
      0.1      2805 
      0.2      2805 
      0.1      2805 
     -0.2      2777 
     -0.2      2805 
      0.1      2805 
     -0.0      2805 
      0.1      2805 
      0.2      2805 
      0.1      2805 
     -0.0      2805 
      0.2      2805 
     -0.0      2805 
      0.1      2805 
      0.2      2805 
     -0.0      2805 
      0.1      2805 
      0.2      2805 
     -0.0      2805 
     -0.0      2832 
      0.2      2805 
     -0.0      2832 
      0.2      2805 
      0.2      2805 
     -0.2      2805 
     -0.0      2805 
     -0.0      2805 
     -0.0      2832 
      0.2      2805 
      0.2      2805 
      0.1      2805 
     -0.0      2805 
     -0.0      2805 
     -0.0      2805 
     -0.0      2805 
      0.2      2805 
     -0.0      2805 
      0.2      2832 
      0.1      2805 
     -0.0      2805 
     -0.0      2805 
      0.1      2805 
     -0.0      2805 
      0.3      2832 
      0.1      2805 
     -0.0      2805 
     -0.0      2805 
     -0.0      2805 
     -0.0      2777 
      0.2      2805 
      0.2      2805 
      0.1      2805 
     -0.0      2832 
      0.1      2832 
     -0.0      2832 
     -0.0      2805 
     -0.0      2832 
     -0.0      2832 
      0.1      2832 
      0.1      2832 
      0.1      2832 
      0.1      2832 
     -0.0      2832 
     -0.0      2832 
      0.2      2832 
      0.1      2832 
      0.2      2832 
      0.1      2805 
      0.1      2805 
      0.1      2805 
     -0.0      2805 
      0.1      2832 
      0.3      2832 
      0.2      2805 
      0.1      2805 
      0.1      2805 
      0.1      2832 
      0.1      2832 
      0.1      2832 
     -0.0      2832 
     -0.0      2832 
      0.2      2805 
      0.1      2832 
      0.1      2832 
      0.2      2832 
     -0.0      2832 
      0.1      2832 
      0.1      2832 
     -0.0      2832 
     -0.0      2832 
     -0.0      2805 
      0.1      2832 
      0.1      2805 
      0.2      2832 
      0.2      2832 
      0.2      2832 
      0.1      2832 
      0.3      2832 
      0.3      2832 
      0.1      2805 
      0.1      2832 
      0.2      2832 
      0.2      2832 
      0.1      2832 
     -0.2      2832 
     -0.0      2832 
     -0.0      2832 
     -0.2      2832 
     -0.3      2832 
     -0.0      2832 
     -0.2      2832 
     -0.2      2832 
     -0.2      2832 
     -0.0      2832 
