Trigger: G-switch.
Smart Recovery option enabled with altitude setting of 685 ft.
Timed recovery set at 16 sec (drogue) and 0 sec (main).
Data is sampled at 200 Hz.
Inputs that were sampled: Acceleration, Pressure, the digital inputs, ADC0, ADC1, ADC2, ADC3.
This data was generated with version 4.2 of the RDAS windows software,
and downloaded from an RDAS board with firmware version 3.1
  Acc [G]  Alt [ft] 
      1.0        -6 
      0.7        18 
      1.0        -6 
      1.0        -6 
      1.0        -6 
      1.1        -6 
      1.0        18 
      1.1        -6 
      1.2        -6 
      0.9        18 
      0.9        -6 
      1.1        -6 
      1.0        -6 
      1.1        -6 
      1.1        18 
      1.0        -6 
      0.9        -6 
      1.1        18 
      1.1        -6 
      1.0        -6 
      1.0        -6 
      1.0        -6 
      1.0        -6 
      1.1        -6 
      1.1        18 
      1.0        -6 
      1.1        -6 
      1.2        18 
      1.0        -6 
      1.0        -6 
      1.1        18 
      1.2        18 
      1.0        -6 
      0.9        -6 
      1.2        18 
      1.2        -6 
      1.0        18 
      1.0        -6 
      1.1        -6 
      1.0        18 
      1.0        18 
      0.9        -6 
      1.0        -6 
      1.0        -6 
      1.1        18 
      0.9        18 
      1.0        -6 
      1.0        -6 
      1.1        -6 
      0.9        18 
      0.9        18 
      1.2        18 
      3.4        -6 
    -13.2        -6 
      3.6        -6 
      7.2        18 
      9.2        44 
      8.0        18 
      8.9        18 
     20.1        18 
     10.6        18 
      9.8        18 
      9.6        -6 
      9.5        -6 
      9.7        18 
      8.9        -6 
      9.5        18 
      9.3        18 
      8.4        18 
      8.9        18 
      9.2        -6 
      8.9        18 
      8.9        18 
      9.1        18 
      9.3        18 
      8.9        18 
      9.3        18 
     10.0        -6 
      9.1        18 
      9.6        18 
      8.6        18 
      8.9        -6 
      9.6        18 
      8.8        18 
      9.2        -6 
      9.2        18 
      8.4        18 
      8.8        18 
      8.6        -6 
      8.7        -6 
      8.7        -6 
      9.3        18 
      9.1        18 
      9.7        18 
      8.0        18 
      8.2        18 
      8.4        18 
      9.1        18 
      8.4        18 
      6.8        18 
      8.9        18 
      8.2        18 
      9.6        18 
      9.3        18 
      8.4        18 
      8.8        18 
      8.7        -6 
      8.9        44 
      8.7        18 
      8.8        18 
      8.4        18 
      7.9        18 
      9.2        18 
      8.6        44 
      9.1        18 
      8.7        18 
      8.4        18 
      8.8        18 
      8.9        44 
      9.1        18 
      8.7        18 
      8.6        44 
      8.7        -6 
      8.7        18 
      9.1        44 
      8.7        18 
      8.8        18 
      9.1        44 
      8.7        18 
      8.9        18 
      8.6        44 
      8.3        18 
      8.8        44 
      8.8        44 
      8.6        18 
      8.9        18 
      8.4        18 
      8.6        44 
      8.9        44 
      9.2        44 
      8.4        44 
      8.7        44 
      8.7        44 
      8.7        44 
      8.7        44 
      8.9        44 
      8.6        44 
      8.6        44 
      8.3        44 
      8.6        44 
      9.1        44 
      8.7        18 
      8.8        44 
      8.6        44 
      8.8        44 
      8.7        44 
      8.8        44 
      8.9        44 
      9.1        44 
      9.2        44 
      8.4        44 
      8.8        44 
      9.1        44 
      8.4        44 
      8.4        44 
      8.8        44 
      9.1        69 
      8.9        69 
      8.9        44 
      8.4        44 
      8.6        69 
      9.1        69 
      8.9        44 
      8.8        44 
      8.7        69 
      8.6        44 
      8.6        44 
      9.1        44 
      8.7        69 
      8.8        44 
      8.4        44 
      8.7        69 
      9.1        44 
      8.9        44 
      8.9        69 
      8.8        44 
      8.8        44 
      8.7        44 
      9.2        69 
      8.3        44 
      8.7        69 
      8.8        44 
      8.9        69 
      8.6        69 
      8.8        69 
      8.7        69 
      8.9        69 
      9.1        69 
      8.7        69 
      8.8        69 
      8.8        69 
      8.7        69 
      9.5        69 
      8.7        69 
      8.8        69 
      8.7        95 
      8.7        95 
      9.1        69 
      8.8        69 
      8.7        69 
      8.7        69 
      8.8        95 
      8.9        69 
      8.8        95 
      8.6        95 
      9.1        69 
      8.6        95 
      8.6        69 
      8.6        95 
      8.3        95 
      8.6        69 
      9.2        95 
      8.9        95 
      9.1        95 
      8.9        95 
      8.6        95 
      9.1        95 
      8.7        95 
      8.8        95 
      8.6        95 
      8.3        95 
      8.9        95 
      8.8        95 
      8.8        95 
      8.7        95 
      8.9        95 
      8.8        95 
      8.8        95 
      8.8        95 
      8.8       120 
      8.9        95 
      8.7       120 
      9.1       120 
      8.6        95 
      9.2        95 
      8.4        95 
      8.7       120 
      8.8       120 
      8.8       120 
      8.6        95 
      8.6       120 
      9.1       120 
      8.8       120 
      8.8       120 
      8.8       120 
      8.4       120 
      8.7       146 
      8.3       120 
      8.3       120 
      8.9       120 
      8.8       120 
      8.6       146 
      8.7       146 
      8.8       146 
      8.9       146 
      8.6       146 
      8.9       146 
      8.6       146 
      9.1       146 
      8.8       146 
      8.7       146 
      8.7       120 
      8.6       146 
      8.7       146 
      8.4       146 
      8.4       146 
      9.1       146 
      8.4       146 
      8.4       146 
      8.7       171 
      8.6       146 
      8.0       146 
      8.2       146 
      8.6       171 
      8.0       171 
      8.3       171 
      8.8       171 
      8.4       171 
      8.3       171 
      8.0       171 
      8.3       171 
      8.3       171 
      8.2       171 
      8.0       171 
      9.2       197 
      7.9       171 
      8.4       197 
      8.3       171 
      8.3       197 
      8.4       197 
      8.3       197 
      8.0       197 
      8.3       197 
      8.2       197 
      8.4       197 
      8.0       197 
      8.3       197 
      7.9       197 
      7.9       197 
      8.2       197 
      7.9       197 
      7.7       197 
      7.8       197 
      7.8       222 
      7.4       197 
      7.7       222 
      7.5       197 
      7.5       197 
      7.7       222 
      7.5       197 
      7.3       222 
      7.4       222 
      7.2       222 
      7.4       222 
      7.3       248 
      7.7       222 
      7.7       222 
      7.2       222 
      7.4       248 
      7.4       248 
      7.3       222 
      7.3       222 
      7.3       248 
      7.2       248 
      7.3       248 
      7.4       248 
      7.2       248 
      7.2       248 
      7.0       248 
      7.2       248 
      7.3       248 
      7.2       248 
      7.4       248 
      6.8       248 
      7.2       248 
      7.3       248 
      7.3       248 
      6.8       274 
      7.2       274 
      7.2       274 
      7.2       274 
      6.9       274 
      6.8       274 
      7.0       274 
      7.0       274 
      6.8       274 
      6.9       274 
      7.0       299 
      7.0       274 
      6.8       274 
      6.8       299 
      6.6       299 
      6.8       299 
      6.8       274 
      6.6       299 
      6.9       299 
      6.5       299 
      6.9       299 
      6.1       299 
      6.5       299 
      6.1       299 
      6.5       299 
      6.5       299 
      6.3       325 
      6.5       299 
      6.3       299 
      6.6       325 
      6.5       325 
      6.6       325 
      6.5       325 
      6.5       325 
      6.6       325 
      6.5       325 
      6.6       325 
      6.6       351 
      6.8       325 
      6.6       351 
      6.5       325 
      6.5       325 
      6.9       351 
      6.8       351 
      6.4       351 
      6.6       351 
      6.6       351 
      6.4       351 
      6.3       351 
      6.0       351 
      6.1       351 
      6.1       351 
      6.4       351 
      6.4       351 
      6.0       351 
      6.0       351 
      5.7       377 
      5.4       377 
      5.0       377 
      4.8       377 
      4.3       377 
      3.8       377 
      3.6       377 
      3.7       351 
      3.0       377 
      3.0       377 
      2.9       377 
      2.7       377 
      2.8       377 
      2.7       377 
      2.1       402 
      2.1       377 
      2.0       377 
      1.8       377 
      2.0       377 
      1.5       402 
      1.5       402 
      1.6       402 
      1.4       402 
      1.5       402 
      1.1       402 
      1.6       402 
      1.1       402 
      1.4       402 
      1.0       428 
      1.1       402 
      1.2       402 
      1.2       402 
      0.6       428 
      0.9       402 
      1.0       428 
      0.7       402 
      0.7       428 
      0.9       428 
      1.1       428 
      0.7       428 
      0.7       428 
