acce(G)   alt(m) 
0.6      3088 
0.6      3088 
0.6      3116 
0.3      3116 
0.4      3116 
0.4      3116 
0.3      3116 
0.3      3116 
0.6      3116 
0.2      3116 
0.6      3144 
0.6      3116 
0.6      3116 
0.6      3144 
0.6      3144 
0.3      3144 
0.2      3144 
0.2      3144 
0.4      3144 
0.6      3144 
0.6      3144 
0.4      3171 
0.3      3144 
0.3      3171 
0.3      3144 
0.2      3171 
0.3      3171 
0.4      3171 
0.3      3171 
0.4      3171 
0.6      3171 
0.3      3171 
0.3      3171 
0.0      3199 
0.4      3199 
0.2      3199 
0.3      3199 
0.3      3171 
0.6      3199 
0.4      3199 
0.4      3199 
0.3      3199 
0.2      3199 
0.3      3199 
0.4      3227 
0.4      3199 
0.4      3199 
0.3      3227 
0.4      3227 
0.4      3227 
0.6      3227 
0.3      3227 
0.4      3227 
0.2      3227 
0.3      3227 
0.3      3227 
0.4      3227 
0.2      3227 
0.2      3227 
0.4      3227 
0.3      3255 
0.2      3255 
0.3      3255 
0.4      3255 
0.6      3255 
0.6      3255 
0.3      3255 
0.3      3255 
0.4      3255 
0.3      3283 
0.4      3283 
0.2      3255 
0.4      3283 
0.4      3283 
0.3      3283 
0.4      3255 
0.3      3283 
0.2      3283 
0.4      3283 
0.4      3283 
0.3      3310 
0.6      3310 
0.3      3283 
0.3      3283 
0.3      3310 
0.2      3310 
0.3      3283 
0.2      3283 
0.3      3310 
0.3      3310 
0.3      3310 
0.3      3310 
0.0      3310 
0.3      3310 
0.4      3310 
0.3      3338 
0.6      3338 
0.3      3310 
0.2      3338 
0.4      3338 
0.3      3338 
0.6      3310 
0.3      3338 
0.4      3338 
0.3      3366 
0.4      3338 
0.3      3338 
0.4      3310 
0.4      3338 
0.6      3338 
0.3      3366 
0.2      3366 
0.2      3366 
0.0      3338 
0.2      3366 
0.2      3366 
0.3      3366 
0.2      3366 
0.2      3366 
0.3      3394 
0.2      3366 
0.4      3366 
0.3      3366 
0.3      3366 
0.3      3394 
0.3      3366 
0.2      3394 
0.6      3394 
0.6      3394 
0.4      3394 
0.4      3394 
0.0      3394 
0.3      3394 
0.3      3422 
0.3      3394 
0.6      3394 
0.2      3422 
0.2      3394 
0.4      3422 
0.4      3422 
0.3      3394 
0.2      3422 
0.2      3422 
0.2      3422 
0.6      3422 
0.6      3422 
0.2      3422 
0.3      3422 
0.3      3450 
0.4      3422 
0.6      3422 
0.2      3422 
0.3      3422 
0.6      3450 
0.4      3450 
0.3      3450 
0.4      3450 
0.4      3450 
0.4      3450 
0.4      3450 
0.3      3450 
0.3      3478 
0.7      3450 
0.4      3450 
0.3      3478 
0.4      3478 
0.2      3478 
0.0      3478 
0.0      3478 
0.2      3506 
0.2      3478 
0.3      3478 
0.2      3478 
0.3      3478 
0.4      3478 
0.6      3506 
0.4      3506 
0.4      3506 
0.6      3478 
0.6      3506 
0.7      3506 
0.7      3506 
0.6      3506 
0.6      3506 
0.6      3506 
0.4      3506 
0.7      3506 
0.6      3506 
0.7      3506 
0.6      3534 
0.2      3534 
0.2      3534 
0.0      3534 
0.0      3534 
0.2      3534 
0.3      3534 
0.3      3534 
0.3      3534 
0.3      3534 
0.3      3534 
0.4      3534 
0.4      3534 
0.6      3534 
0.4      3563 
0.3      3563 
0.4      3563 
0.3      3534 
0.2      3563 
0.3      3563 
0.2      3563 
0.4      3563 
0.3      3563 
0.3      3563 
0.4      3563 
0.6      3563 
0.4      3563 
0.4      3591 
0.4      3563 
0.3      3591 
0.3      3591 
0.3      3591 
0.3      3591 
0.3      3591 
0.6      3591 
0.3      3591 
0.3      3619 
0.3      3591 
0.2      3591 
0.2      3591 
0.3      3619 
0.3      3591 
0.2      3591 
0.4      3591 
0.6      3619 
0.3      3619 
0.2      3619 
0.3      3619 
0.3      3619 
0.4      3619 
0.4      3619 
0.4      3619 
0.2      3619 
0.3      3647 
0.4      3619 
0.4      3619 
0.2      3647 
0.6      3647 
0.3      3619 
0.4      3647 
0.3      3647 
0.2      3647 
0.6      3647 
0.4      3647 
0.2      3647 
0.2      3647 
0.3      3675 
0.4      3647 
0.4      3675 
0.3      3675 
0.4      3675 
0.3      3647 
0.6      3675 
0.4      3675 
0.4      3647 
0.4      3647 
0.3      3675 
0.3      3675 
0.3      3675 
0.4      3675 
0.4      3675 
0.4      3675 
0.3      3675 
0.2      3675 
0.3      3703 
0.4      3703 
0.2      3675 
0.3      3703 
0.3      3703 
0.4      3703 
0.4      3703 
0.4      3703 
0.3      3703 
0.3      3703 
0.3      3703 
0.2      3703 
0.4      3703 
0.6      3703 
0.3      3703 
0.2      3703 
0.2      3703 
0.3      3703 
0.3      3732 
0.2      3703 
0.3      3703 
0.6      3732 
0.2      3732 
0.3      3732 
0.0      3732 
0.2      3732 
0.4      3732 
0.4      3732 
0.4      3732 
0.3      3732 
0.3      3732 
0.2      3760 
0.4      3732 
0.2      3760 
0.2      3760 
0.2      3760 
0.3      3760 
0.2      3760 
0.6      3760 
0.4      3760 
0.3      3760 
0.3      3760 
0.3      3760 
0.0      3760 
0.2      3760 
0.3      3760 
0.3      3760 
0.3      3760 
0.3      3760 
0.2      3760 
0.2      3760 
0.4      3788 
0.2      3788 
0.4      3788 
0.3      3788 
0.3      3788 
0.3      3760 
0.3      3788 
0.0      3788 
0.2      3788 
0.4      3788 
0.2      3816 
0.3      3788 
0.0      3816 
0.3      3816 
0.2      3816 
0.3      3816 
0.3      3788 
0.4      3816 
0.4      3816 
0.3      3816 
0.2      3788 
0.2      3816 
0.2      3816 
0.4      3816 
0.3      3816 
0.3      3816 
0.3      3816 
0.3      3816 
0.2      3845 
0.3      3845 
0.2      3845 
0.2      3845 
0.3      3845 
0.3      3845 
0.6      3845 
0.4      3845 
0.3      3845 
0.3      3873 
0.0      3845 
0.2      3845 
0.2      3873 
0.0      3845 
0.3      3873 
0.3      3873 
0.4      3845 
0.3      3845 
0.3      3873 
0.3      3873 
0.3      3873 
0.3      3873 
0.3      3873 
0.3      3873 
0.2      3873 
0.3      3873 
0.2      3873 
0.3      3873 
0.3      3902 
0.3      3873 
0.3      3902 
0.6      3873 
0.3      3873 
0.4      3902 
0.3      3902 
0.3      3873 
0.4      3902 
0.4      3902 
0.3      3873 
0.2      3902 
0.2      3902 
0.4      3902 
0.4      3873 
0.4      3902 
0.3      3930 
0.2      3902 
0.3      3902 
0.2      3902 
0.3      3930 
0.3      3930 
0.2      3902 
0.3      3902 
0.3      3930 
0.2      3930 
0.0      3930 
0.3      3930 
0.0      3930 
0.0      3930 
0.2      3930 
0.3      3958 
0.0      3930 
0.0      3958 
0.0      3930 
0.4      3930 
0.3      3958 
0.4      3958 
0.3      3958 
0.3      3930 
0.3      3958 
0.6      3958 
0.4      3958 
0.4      3958 
0.4      3958 
0.4      3958 
0.3      3958 
0.3      3958 
0.3      3958 
0.4      3958 
0.3      3958 
0.3      3987 
0.2      3987 
0.2      3987 
0.2      3987 
0.0      3987 
0.2      3958 
0.2      3958 
0.2      3987 
0.2      3987 
0.2      3987 
0.4      3987 
0.3      3987 
0.2      3987 
0.2      4015 
0.3      3987 
0.4      3987 
0.4      3987 
0.2      3987 
0.2      3987 
0.0      4015 
0.4      4015 
0.2      4015 
0.3      4015 
0.4      4015 
0.0      4015 
0.4      4015 
0.3      4015 
0.2      4015 
0.3      4015 
0.3      4015 
0.3      4044 
0.3      4015 
0.2      4044 
0.3      4044 
0.2      4044 
0.3      4044 
0.2      4044 
0.2      4044 
0.2      4044 
0.3      4044 
0.2      4044 
0.3      4044 
0.2      4044 
0.2      4044 
0.3      4044 
0.4      4072 
0.3      4072 
0.2      4044 
0.3      4072 
0.3      4044 
0.6      4044 
0.4      4072 
0.4      4044 
0.4      4044 
0.3      4072 
0.3      4072 
0.2      4072 
0.2      4072 
0.3      4072 
0.2      4072 
0.3      4072 
0.3      4072 
0.0      4101 
0.0      4072 
0.3      4101 
0.4      4072 
0.4      4072 
0.4      4101 
0.4      4072 
0.4      4101 
0.6      4101 
0.6      4101 
0.6      4101 
0.6      4101 
0.4      4101 
0.4      4101 
0.3      4101 
0.4      4101 
0.3      4101 
0.4      4101 
0.4      4101 
0.4      4101 
0.2      4101 
0.2      4130 
0.1      4101 
0.2      4101 
0.1      4101 
0.2      4130 
0.3      4130 
0.3      4130 
0.3      4130 
0.2      4130 
0.2      4101 
0.2      4130 
0.3      4130 
0.3      4130 
0.3      4130 
0.0      4130 
0.0      4130 
0.2      4158 
0.3      4158 
0.2      4158 
0.2      4158 
0.2      4158 
0.4      4130 
0.2      4158 
0.4      4158 
0.2      4158 
0.0      4130 
0.3      4158 
0.4      4158 
0.0      4158 
0.2      4158 
0.1      4158 
0.2      4158 
0.4      4158 
0.4      4158 
0.2      4158 
0.2      4187 
0.3      4187 
0.2      4187 
0.3      4187 
0.2      4187 
0.2      4187 
0.3      4187 
0.4      4158 
0.2      4187 
0.0      4187 
0.0      4187 
0.2      4187 
0.0      4187 
0.0      4187 
0.2      4187 
0.0      4187 
0.4      4215 
0.3      4215 
0.3      4187 
0.3      4187 
0.3      4215 
0.3      4187 
0.3      4215 
0.2      4215 
0.2      4215 
0.2      4215 
0.4      4215 
0.4      4215 
0.2      4215 
0.2      4215 
0.2      4244 
0.3      4215 
0.2      4215 
0.3      4215 
0.2      4215 
0.2      4215 
0.3      4244 
0.4      4244 
0.0      4244 
0.0      4244 
0.2      4244 
0.3      4244 
0.2      4244 
0.2      4244 
0.3      4244 
0.1      4244 
0.3      4244 
0.2      4244 
0.2      4244 
0.3      4244 
0.0      4244 
0.0      4244 
0.2      4273 
0.2      4273 
0.0      4244 
0.2      4244 
0.3      4273 
0.2      4273 
0.4      4273 
0.2      4273 
0.0      4244 
0.3      4273 
0.2      4273 
0.3      4273 
0.3      4273 
0.2      4273 
0.2      4273 
0.4      4273 
0.3      4302 
0.4      4273 
0.0      4273 
0.4      4273 
0.0      4273 
0.2      4302 
0.3      4273 
0.3      4273 
0.0      4302 
0.0      4302 
0.0      4302 
0.3      4302 
0.3      4302 
0.2      4302 
0.3      4302 
0.2      4302 
0.2      4302 
0.0      4330 
0.2      4302 
0.2      4302 
0.0      4302 
0.3      4330 
0.2      4330 
0.4      4330 
0.2      4330 
0.2      4330 
0.3      4330 
0.3      4330 
0.3      4330 
0.2      4330 
0.2      4330 
0.1      4330 
0.2      4330 
0.2      4330 
0.2      4330 
0.2      4330 
0.2      4330 
0.2      4330 
0.3      4330 
0.0      4330 
0.2      4359 
0.4      4359 
0.2      4330 
0.2      4330 
0.3      4330 
0.2      4330 
0.3      4330 
0.4      4359 
0.0      4359 
0.2      4359 
0.1      4359 
0.2      4359 
0.3      4359 
0.3      4359 
0.3      4359 
0.4      4359 
0.2      4388 
0.3      4359 
0.3      4359 
0.2      4388 
0.1      4388 
0.2      4359 
0.3      4359 
0.4      4388 
0.4      4388 
0.2      4388 
0.2      4388 
0.0      4388 
0.2      4388 
0.3      4388 
0.2      4388 
0.0      4359 
0.0      4388 
0.0      4388 
0.2      4388 
0.3      4388 
0.3      4388 
0.3      4388 
0.2      4417 
0.0      4417 
0.2      4388 
0.2      4417 
0.0      4388 
0.1      4388 
0.0      4417 
0.3      4417 
0.3      4417 
0.3      4388 
0.2      4417 
0.0      4417 
0.2      4417 
0.3      4417 
0.4      4417 
0.2      4417 
0.0      4417 
0.0      4417 
0.2      4446 
0.4      4417 
0.3      4417 
0.2      4446 
0.2      4417 
0.0      4446 
0.0      4417 
0.2      4446 
0.4      4446 
0.2      4446 
0.2      4446 
0.2      4446 
0.2      4446 
0.3      4446 
0.0      4446 
0.1      4446 
0.0      4446 
0.1      4446 
0.0      4446 
0.1      4446 
0.1      4446 
0.0      4446 
0.1      4474 
0.3      4446 
0.3      4446 
0.2      4446 
0.2      4474 
0.3      4474 
0.2      4446 
0.4      4474 
0.3      4474 
0.3      4474 
0.3      4474 
0.3      4474 
0.3      4474 
0.2      4446 
0.3      4474 
0.0      4474 
0.3      4474 
0.0      4474 
0.0      4474 
0.2      4474 
0.2      4503 
0.1      4474 
0.0      4503 
0.2      4474 
0.2      4503 
0.2      4503 
0.2      4503 
0.0      4503 
0.0      4503 
0.0      4474 
0.3      4503 
0.2      4503 
0.3      4503 
0.2      4474 
0.0      4503 
0.1      4503 
0.1      4503 
0.4      4503 
0.3      4503 
0.2      4503 
0.2      4532 
0.2      4532 
0.2      4503 
0.2      4532 
0.3      4503 
0.3      4532 
0.2      4503 
0.2      4503 
0.2      4532 
0.2      4503 
0.2      4532 
0.1      4532 
0.0      4532 
0.2      4532 
0.3      4532 
0.2      4503 
0.2      4532 
0.0      4532 
0.3      4532 
0.2      4532 
0.3      4532 
0.2      4561 
0.0      4532 
0.0      4561 
0.0      4561 
0.0      4561 
0.2      4532 
0.0      4532 
0.0      4561 
0.2      4561 
0.3      4561 
0.3      4561 
0.3      4561 
0.2      4561 
0.2      4561 
0.0      4561 
0.2      4561 
0.2      4561 
0.2      4561 
0.0      4561 
0.2      4561 
0.2      4561 
0.0      4590 
0.0      4590 
0.0      4561 
0.0      4561 
0.2      4590 
0.0      4561 
0.3      4561 
0.3      4590 
0.3      4590 
0.3      4561 
0.2      4590 
0.2      4590 
0.2      4590 
0.2      4590 
0.2      4561 
0.2      4590 
0.2      4590 
0.2      4590 
0.2      4590 
0.2      4619 
0.2      4619 
0.1      4590 
0.0      4590 
0.0      4590 
0.0      4619 
0.2      4619 
0.3      4619 
0.3      4619 
0.0      4619 
0.0      4619 
0.2      4619 
0.0      4619 
0.2      4619 
0.1      4619 
0.2      4619 
0.2      4619 
0.2      4648 
0.2      4619 
0.2      4648 
0.3      4648 
0.0      4619 
0.2      4619 
0.3      4648 
0.0      4619 
0.3      4648 
0.0      4619 
0.0      4619 
0.2      4648 
0.3      4648 
0.2      4619 
0.2      4648 
0.2      4648 
0.2      4648 
0.2      4648 
0.3      4648 
0.3      4648 
0.0      4648 
0.2      4648 
0.0      4648 
0.3      4648 
0.3      4648 
0.2      4648 
0.3      4648 
0.3      4648 
0.2      4648 
0.0      4648 
0.0      4677 
0.2      4648 
0.2      4677 
0.0      4677 
0.2      4648 
0.2      4648 
0.2      4677 
0.2      4677 
0.0      4677 
0.0      4677 
0.0      4677 
0.2      4677 
0.3      4677 
0.1      4677 
0.2      4677 
0.2      4677 
0.2      4677 
0.2      4677 
0.3      4677 
0.3      4677 
0.1      4677 
0.0      4677 
0.0      4677 
0.2      4677 
0.3      4677 
0.0      4677 
0.0      4677 
0.0      4706 
0.2      4706 
0.2      4677 
0.0      4677 
0.0      4677 
0.3      4706 
0.0      4706 
0.0      4706 
0.0      4706 
0.2      4706 
0.2      4706 
0.0      4706 
0.2      4706 
0.2      4706 
0.0      4706 
0.2      4706 
0.2      4706 
0.2      4736 
0.3      4706 
0.0      4706 
0.1      4706 
0.0      4706 
0.0      4706 
0.2      4736 
0.3      4736 
0.2      4706 
0.1      4706 
0.2      4736 
0.2      4736 
0.2      4736 
0.3      4736 
0.0      4736 
0.2      4736 
0.1      4736 
0.1      4736 
0.3      4736 
0.2      4736 
0.2      4736 
0.1      4736 
0.1      4736 
0.2      4736 
0.3      4736 
0.3      4736 
0.2      4736 
0.0      4736 
0.0      4736 
0.0      4765 
0.2      4765 
0.1      4736 
0.0      4765 
0.2      4736 
0.2      4765 
0.1      4765 
0.2      4765 
0.0      4765 
0.2      4765 
0.2      4765 
0.0      4765 
0.0      4765 
0.2      4765 
0.3      4765 
0.2      4765 
0.0      4765 
0.1      4765 
0.0      4765 
0.2      4765 
0.3      4765 
0.3      4765 
0.1      4794 
0.0      4794 
0.0      4765 
0.3      4765 
0.2      4794 
0.1      4794 
0.1      4794 
0.2      4794 
0.2      4794 
0.3      4794 
0.2      4765 
0.1      4794 
0.0      4794 
0.2      4794 
0.2      4794 
0.2      4794 
0.2      4794 
0.1      4794 
0.0      4794 
0.2      4794 
0.2      4794 
0.2      4823 
0.2      4794 
0.2      4794 
0.3      4823 
0.3      4794 
0.0      4794 
0.3      4794 
0.0      4823 
0.3      4823 
0.2      4823 
0.2      4794 
0.0      4823 
0.0      4823 
0.2      4823 
0.0      4823 
0.0      4823 
0.0      4823 
0.0      4823 
0.0      4823 
0.2      4823 
0.3      4823 
0.2      4823 
0.0      4823 
0.0      4852 
0.2      4823 
0.0      4852 
0.3      4823 
0.2      4852 
0.0      4852 
0.2      4823 
0.0      4852 
0.3      4823 
0.2      4852 
0.0      4823 
0.1      4852 
0.0      4852 
0.3      4852 
0.2      4852 
0.1      4852 
0.3      4852 
0.0      4852 
0.0      4852 
0.4      4852 
0.2      4852 
0.2      4852 
0.0      4852 
0.3      4852 
0.2      4852 
0.2      4852 
0.2      4852 
0.0      4852 
0.2      4852 
0.0      4852 
0.2      4852 
0.1      4882 
0.2      4882 
0.3      4882 
0.0      4882 
0.2      4882 
0.0      4882 
0.2      4882 
0.0      4882 
0.0      4882 
0.0      4882 
0.2      4882 
0.2      4882 
0.2      4882 
0.0      4882 
0.0      4882 
0.0      4882 
0.0      4882 
0.1      4911 
0.3      4882 
0.2      4882 
0.3      4882 
0.2      4882 
0.3      4882 
0.0      4911 
0.0      4882 
0.0      4882 
0.1      4882 
0.0      4911 
0.2      4911 
0.1      4911 
0.1      4911 
0.2      4911 
0.2      4911 
0.2      4882 
0.0      4882 
0.0      4911 
0.2      4882 
0.1      4911 
0.0      4882 
0.0      4911 
0.0      4911 
0.1      4911 
0.0      4882 
0.1      4911 
0.2      4911 
0.0      4911 
0.0      4940 
0.2      4911 
0.0      4911 
0.0      4911 
0.1      4911 
0.2      4911 
0.3      4911 
0.2      4911 
0.0      4911 
0.2      4940 
0.2      4911 
0.0      4911 
0.0      4911 
0.0      4911 
0.3      4940 
0.0      4911 
0.1      4940 
0.1      4940 
0.1      4940 
0.2      4940 
0.0      4940 
0.2      4911 
0.3      4940 
0.2      4940 
0.3      4940 
0.2      4969 
0.2      4940 
0.2      4940 
0.3      4940 
0.2      4969 
0.2      4940 
0.0      4969 
0.1      4940 
0.1      4940 
0.2      4940 
0.0      4969 
0.1      4969 
0.0      4969 
0.2      4969 
0.0      4969 
0.2      4969 
0.2      4969 
0.0      4969 
0.2      4969 
0.1      4940 
0.2      4969 
0.0      4969 
0.2      4940 
0.2      4969 
0.3      4969 
0.2      4969 
0.2      4969 
0.2      4969 
0.0      4969 
0.0      4969 
0.0      4999 
0.0      4969 
0.0      4999 
0.2      4969 
0.2      4999 
0.0      4969 
0.1      4969 
0.2      4969 
0.2      4999 
0.2      4999 
0.1      4999 
0.1      4999 
0.2      4999 
0.1      4999 
0.3      4969 
0.0      4999 
0.0      4999 
0.1      4999 
0.1      4969 
0.2      4969 
0.0      4999 
0.0      4999 
0.2      4999 
0.0      4999 
0.0      4999 
0.0      4999 
0.0      4999 
0.1      4999 
0.1      4999 
0.0      4999 
0.2      5028 
0.2      4999 
0.1      4999 
0.2      4999 
0.2      5028 
0.1      4999 
0.0      5028 
0.2      5028 
0.2      4999 
0.1      5028 
0.0      4999 
0.1      4999 
0.0      4999 
0.2      4999 
0.2      4999 
0.2      4999 
0.0      5028 
0.0      5028 
0.1      4999 
0.0      5028 
0.1      5028 
0.0      5028 
0.2      5028 
0.0      5028 
0.2      5028 
0.2      5028 
0.2      5028 
0.0      5028 
0.0      5028 
0.0      5057 
0.1      5028 
0.0      5028 
0.0      5057 
0.2      5028 
0.1      5057 
0.0      5028 
0.1      5057 
0.2      5057 
0.2      5028 
0.3      5057 
0.0      5028 
0.0      5057 
0.1      5028 
0.1      5057 
0.0      5057 
0.0      5057 
0.0      5057 
0.0      5057 
0.2      5057 
0.0      5057 
0.2      5057 
0.0      5057 
0.2      5057 
0.3      5057 
0.2      5057 
0.0      5057 
0.1      5057 
0.1      5087 
0.2      5057 
0.2      5057 
0.0      5057 
0.0      5057 
0.0      5057 
0.1      5057 
0.0      5057 
0.2      5087 
0.1      5057 
0.0      5057 
0.0      5087 
0.2      5057 
0.2      5057 
0.2      5057 
0.2      5057 
0.1      5087 
0.0      5057 
0.0      5087 
0.2      5087 
0.1      5087 
0.1      5087 
0.0      5087 
0.0      5087 
0.2      5116 
0.0      5087 
0.2      5087 
0.0      5087 
0.0      5087 
0.0      5087 
0.0      5087 
0.0      5087 
0.0      5087 
0.2      5087 
0.2      5087 
0.0      5087 
0.2      5087 
0.0      5087 
0.2      5087 
0.2      5087 
0.1      5116 
0.0      5087 
0.1      5116 
0.0      5116 
0.2      5116 
0.0      5116 
0.0      5087 
0.2      5116 
0.2      5116 
0.1      5087 
0.1      5087 
0.0      5116 
0.2      5116 
0.0      5116 
0.2      5116 
0.0      5116 
0.1      5116 
0.2      5116 
0.2      5116 
0.2      5116 
0.0      5116 
0.2      5116 
0.0      5116 
0.2      5116 
0.2      5116 
0.2      5116 
0.2      5146 
0.2      5116 
0.0      5116 
0.0      5116 
0.0      5116 
0.0      5116 
0.1      5116 
0.3      5146 
0.0      5116 
0.1      5116 
0.2      5146 
0.1      5146 
0.0      5146 
0.0      5146 
0.2      5146 
0.2      5146 
0.1      5116 
0.1      5146 
0.2      5146 
0.2      5146 
0.0      5146 
0.2      5146 
0.1      5146 
0.0      5146 
0.2      5146 
0.3      5146 
0.1      5146 
0.0      5146 
0.1      5146 
0.0      5146 
0.0      5146 
0.2      5146 
0.2      5146 
0.0      5146 
0.2      5146 
0.1      5146 
0.1      5146 
0.0      5146 
0.2      5146 
0.0      5146 
0.2      5175 
0.0      5146 
0.0      5175 
0.0      5175 
0.0      5175 
0.1      5175 
0.1      5175 
0.0      5146 
0.0      5146 
0.2      5146 
0.0      5175 
0.1      5175 
0.1      5175 
0.0      5146 
0.2      5175 
0.2      5146 
0.2      5146 
0.0      5175 
0.0      5175 
0.1      5175 
0.1      5175 
0.1      5175 
0.0      5175 
0.0      5175 
0.0      5175 
0.1      5175 
0.0      5175 
0.1      5175 
0.1      5146 
0.2      5175 
0.1      5175 
0.2      5175 
0.1      5205 
0.1      5175 
0.1      5175 
0.1      5175 
0.2      5175 
0.2      5205 
0.1      5175 
0.0      5175 
0.1      5205 
0.0      5205 
0.0      5205 
0.3      5175 
0.0      5205 
0.0      5175 
0.1      5205 
0.0      5205 
0.0      5175 
0.0      5205 
0.2      5205 
0.0      5205 
0.1      5205 
0.1      5205 
0.1      5205 
0.0      5205 
0.0      5205 
0.0      5205 
0.0      5205 
0.1      5205 
0.2      5234 
0.1      5205 
0.2      5205 
0.1      5205 
0.0      5234 
0.2      5234 
0.2      5205 
0.0      5205 
0.2      5205 
0.2      5205 
0.2      5234 
0.2      5205 
0.0      5234 
0.2      5205 
0.1      5205 
0.1      5205 
0.2      5234 
0.0      5234 
0.1      5205 
0.2      5234 
0.1      5205 
0.2      5205 
0.2      5205 
0.0      5234 
0.1      5234 
0.3      5234 
0.0      5234 
0.1      5234 
0.2      5234 
0.1      5234 
0.2      5234 
0.0      5234 
0.0      5234 
0.1      5234 
0.2      5264 
0.2      5234 
0.3      5234 
0.2      5234 
0.0      5234 
0.2      5234 
0.0      5234 
0.0      5234 
0.0      5234 
0.0      5234 
0.0      5234 
0.1      5234 
0.2      5234 
0.1      5264 
0.2      5234 
0.1      5264 
0.2      5264 
0.0      5264 
0.1      5234 
0.1      5234 
0.1      5234 
0.2      5264 
0.1      5264 
0.2      5264 
0.0      5264 
0.0      5264 
0.0      5264 
0.2      5264 
0.3      5264 
0.2      5264 
0.2      5264 
0.0      5264 
0.2      5264 
0.0      5264 
0.0      5264 
0.2      5264 
0.2      5264 
0.0      5264 
0.1      5264 
0.2      5264 
0.0      5264 
0.1      5264 
0.0      5264 
0.0      5264 
0.0      5264 
0.2      5264 
0.2      5294 
0.2      5264 
0.0      5264 
0.2      5294 
0.2      5264 
0.0      5294 
0.0      5294 
0.0      5264 
0.2      5294 
0.0      5264 
0.0      5264 
0.1      5294 
0.0      5264 
0.0      5294 
0.2      5294 
0.0      5294 
0.1      5294 
0.2      5294 
0.1      5264 
0.1      5294 
0.2      5294 
0.1      5264 
0.1      5294 
0.0      5294 
0.2      5264 
0.0      5294 
0.0      5294 
0.1      5294 
0.0      5294 
0.0      5294 
0.2      5294 
0.0      5294 
0.1      5294 
0.2      5294 
0.2      5323 
0.2      5294 
0.0      5294 
0.0      5294 
0.0      5294 
0.0      5294 
0.2      5294 
0.2      5323 
0.0      5323 
0.0      5294 
0.0      5294 
0.1      5294 
0.0      5294 
0.2      5323 
0.3      5294 
0.0      5294 
0.0      5323 
0.0      5294 
0.1      5294 
0.2      5323 
0.0      5323 
0.2      5294 
0.1      5323 
0.2      5323 
0.0      5323 
0.1      5323 
0.0      5323 
0.1      5323 
0.2      5323 
0.2      5323 
0.1      5323 
0.1      5294 
0.2      5323 
0.0      5323 
0.2      5323 
0.1      5323 
0.1      5323 
0.1      5323 
0.0      5323 
0.2      5353 
0.2      5323 
0.0      5323 
0.1      5323 
0.2      5323 
0.2      5353 
0.2      5323 
0.2      5323 
0.1      5323 
0.2      5323 
0.2      5323 
0.0      5323 
0.1      5323 
0.1      5323 
0.0      5323 
0.0      5353 
0.2      5323 
0.2      5353 
0.2      5323 
0.2      5353 
0.0      5353 
0.2      5353 
0.2      5323 
0.1      5353 
0.0      5353 
0.1      5353 
0.0      5353 
0.2      5323 
0.0      5353 
0.2      5353 
0.0      5353 
0.2      5353 
0.0      5323 
0.1      5353 
0.2      5323 
0.2      5353 
0.0      5353 
0.2      5353 
0.0      5353 
0.0      5323 
0.0      5353 
0.1      5353 
0.0      5353 
0.1      5353 
0.1      5353 
0.1      5353 
0.0      5383 
0.1      5353 
0.1      5353 
0.0      5383 
0.0      5353 
0.0      5353 
0.0      5353 
0.0      5353 
0.0      5353 
0.1      5383 
0.1      5353 
0.1      5353 
0.2      5353 
0.2      5353 
0.0      5383 
0.2      5383 
0.0      5383 
0.2      5353 
0.3      5353 
0.2      5353 
0.1      5353 
0.1      5383 
0.1      5383 
0.0      5383 
0.0      5383 
0.1      5383 
0.0      5383 
0.1      5383 
0.1      5383 
0.0      5383 
0.1      5383 
0.3      5383 
0.1      5383 
0.0      5383 
0.0      5383 
0.2      5383 
0.0      5383 
0.0      5383 
0.2      5383 
0.0      5383 
0.1      5383 
0.0      5353 
0.0      5383 
0.2      5383 
0.1      5383 
0.0      5383 
0.2      5383 
0.0      5383 
0.0      5412 
0.0      5383 
0.1      5383 
0.0      5383 
0.2      5383 
0.0      5412 
0.0      5383 
0.0      5383 
0.1      5383 
0.1      5412 
0.0      5383 
0.2      5383 
0.2      5383 
0.0      5383 
0.2      5383 
0.1      5383 
0.2      5412 
0.2      5412 
0.0      5383 
0.1      5383 
0.2      5383 
0.2      5383 
0.0      5412 
0.0      5412 
0.0      5412 
0.1      5383 
0.1      5412 
0.0      5412 
0.2      5412 
0.2      5383 
0.3      5412 
0.3      5383 
0.3      5412 
0.2      5412 
0.2      5412 
0.2      5383 
0.2      5412 
0.0      5412 
0.0      5412 
0.0      5383 
0.1      5412 
0.2      5412 
0.0      5412 
0.1      5412 
0.2      5412 
0.0      5442 
0.0      5412 
0.1      5412 
0.0      5412 
0.2      5412 
0.0      5412 
0.0      5412 
0.2      5412 
0.0      5412 
0.2      5412 
0.2      5412 
0.0      5383 
0.2      5412 
0.2      5412 
0.2      5412 
0.2      5412 
0.2      5412 
0.0      5412 
0.2      5442 
0.1      5442 
0.0      5442 
0.0      5442 
0.2      5412 
0.2      5442 
0.1      5442 
0.1      5442 
0.3      5412 
0.0      5442 
0.1      5412 
0.2      5442 
0.2      5442 
0.1      5442 
0.2      5442 
0.2      5412 
0.0      5442 
0.2      5442 
0.1      5442 
0.0      5442 
0.0      5442 
0.2      5442 
0.0      5442 
0.0      5442 
0.0      5412 
0.0      5442 
0.2      5442 
0.2      5442 
0.0      5442 
0.0      5442 
0.2      5442 
