acce(G)   alt(m) 
5.6        -7 
5.6        -7 
5.5        18 
5.5        18 
5.1        -7 
5.2        18 
5.0        18 
5.9        18 
5.0        -7 
5.6        18 
5.0        -7 
6.3        -7 
4.8        -7 
5.2        18 
5.4        -7 
6.1        18 
4.8        -7 
6.0        -7 
4.8        18 
5.7        -7 
5.2        18 
5.5        18 
5.2        18 
5.7        18 
5.2        18 
5.4        18 
5.4        18 
5.9        18 
6.0        18 
5.5        18 
5.4        18 
5.5        18 
5.5        18 
6.5        18 
5.1        -7 
6.0        18 
5.4        18 
6.3        -7 
5.7        18 
5.5        -7 
5.5        18 
5.9        18 
5.5        18 
5.9        18 
5.5        18 
5.5        18 
6.0        18 
6.1        18 
5.6        18 
6.0        18 
6.1        18 
5.9        -7 
6.1        18 
5.9        18 
6.0        18 
6.0        18 
5.9        18 
5.7        18 
6.3        -7 
6.0        18 
5.9        18 
5.9        43 
6.3        18 
6.5        18 
5.7        18 
5.9        43 
6.0        18 
5.9        18 
5.7        18 
6.4        18 
6.0        18 
6.1        18 
5.7        18 
6.4        18 
5.7        18 
6.4        18 
6.0        18 
6.3        43 
6.3        18 
6.4        18 
6.0        18 
6.5        18 
6.3        43 
6.6        18 
6.3        18 
6.3        18 
6.4        18 
6.1        18 
6.3        18 
6.4        18 
6.1        43 
6.3        18 
6.4        18 
7.4        18 
5.6        43 
6.6        43 
6.1        43 
6.6        43 
6.5        43 
6.5        43 
6.3        18 
6.1        18 
6.9        18 
6.5        18 
6.5        43 
6.5        43 
6.4        43 
6.5        43 
6.1        43 
6.8        18 
7.4        43 
6.0        18 
7.0        43 
6.5        18 
6.4        18 
7.0        43 
6.8        43 
6.8        18 
6.8        68 
6.3        43 
6.8        43 
6.6        43 
6.6        43 
7.0        43 
6.3        43 
7.2        43 
7.4        43 
6.9        43 
6.8        68 
6.6        43 
7.5        68 
6.4        43 
7.0        68 
6.8        43 
6.9        68 
6.8        68 
6.9        68 
7.3        68 
6.6        68 
7.2        43 
7.0        43 
6.5        68 
7.4        68 
6.5        68 
7.8        68 
6.1        68 
7.5        68 
6.9        94 
7.0        68 
7.7        68 
6.9        68 
6.0        68 
8.1        94 
6.9        68 
7.2        68 
7.0        68 
7.3        94 
7.2        94 
7.5        94 
7.3        68 
7.3        94 
7.5        94 
6.6        94 
7.5        94 
6.8        94 
8.1        94 
7.4        94 
7.2        94 
7.2        94 
7.4        94 
7.3        94 
7.4        94 
6.6        94 
7.9        94 
7.3        94 
7.2        94 
7.3        68 
7.4        94 
7.3        94 
7.4        94 
7.3        94 
7.4       119 
8.3        94 
6.5       119 
7.5        94 
6.9       119 
7.8       119 
7.7        94 
7.7        94 
7.5       119 
7.2       119 
7.5       119 
8.8       119 
6.6       119 
7.5       119 
7.8        94 
6.9       119 
8.6       119 
6.9       119 
7.5       119 
7.8       119 
7.5       119 
7.8       119 
7.0       119 
7.7       119 
7.8       119 
7.5       119 
7.7       119 
7.7       144 
7.4       144 
8.2       144 
7.4       144 
7.5       144 
7.8       144 
7.9       144 
7.4       144 
7.8       144 
7.4       170 
7.9       144 
7.5       144 
7.8       170 
7.7       144 
7.7       170 
7.9       170 
7.5       170 
9.9       170 
6.6       170 
9.0       170 
7.2       170 
7.9       170 
7.4       170 
7.4       170 
6.3       170 
6.8       170 
7.0       170 
8.8       170 
7.7       170 
7.4       144 
7.2       170 
7.7       170 
6.9       170 
7.9       170 
7.5       195 
7.3       195 
7.5       170 
8.2       170 
7.2       170 
6.4       195 
9.0       170 
7.2       170 
7.9       170 
7.7       170 
7.0       170 
7.7       170 
7.8       170 
7.8       170 
7.5       170 
7.3       170 
7.8       170 
7.3       170 
8.1       170 
7.7       170 
7.0       170 
7.4       195 
7.4       195 
4.6       195 
9.3       195 
7.3       195 
7.3       195 
7.0       195 
8.1       195 
7.2       170 
8.3       195 
7.5       195 
9.0       195 
6.4       195 
7.4       170 
7.4       195 
7.7       195 
8.4       195 
7.0       195 
7.5       195 
7.7       195 
7.4       221 
7.4       221 
7.4       195 
7.4       221 
7.5       221 
7.5       221 
7.0       221 
7.9       195 
7.3       221 
7.7       195 
7.2       221 
7.3       221 
8.1       221 
7.4       221 
7.4       221 
7.2       221 
7.3       246 
7.3       221 
7.4       246 
7.4       221 
7.5       246 
7.4       246 
7.4       221 
7.0       246 
7.7       246 
7.4       246 
7.4       272 
6.0       246 
8.3       246 
7.0       246 
8.6       246 
6.0       246 
7.5       246 
7.2       246 
7.3       272 
7.3       246 
7.0       272 
7.2       246 
8.4       272 
7.3       246 
7.5       272 
6.8       272 
6.8       272 
7.4       272 
7.2       272 
